H2O2_uM,fold_enhancement,k2_eff_Minv_sinv,t5_seconds,t5_minutes
0.011311278765939214,10,100.0,45347.03409662764,755.7839016104607
0.011575643695533036,10,100.0,44311.397047703125,738.5232841283854
0.011846187309026824,10,100.0,43299.411911598734,721.6568651933122
0.012123054013376527,10,100.0,42310.53852515527,705.1756420859213
0.012406391590588319,10,100.0,41344.24906147769,689.0708176912948
0.012696351276599729,10,100.0,40400.027748198605,673.3337958033101
0.012993087842004172,10,100.0,39477.37059217683,657.9561765362804
0.013296759674662127,10,100.0,38575.78511048328,642.929751841388
0.013607528864243332,10,100.0,37694.79006752989,628.2465011254982
0.013925561288744647,10,100.0,36833.915218202696,613.8985869700449
0.014251026703029992,10,100.0,35992.70105686127,599.8783509476877
0.014584098829439862,10,100.0,35170.69857206983,586.1783095344971
0.014924955450518291,10,100.0,34367.4690069305,572.7911501155083
0.015273778503907124,10,100.0,33582.583624889834,559.7097270814972
0.015630754179458174,10,100.0,32815.623480893744,546.9270580148957
0.01599607301861488,10,100.0,32066.17919776921,534.4363199628201
0.01636993001611702,10,100.0,31333.850747712266,522.2308457952045
0.016752524724082174,10,100.0,30618.247238767053,510.30412064611755
0.01714406135851972,10,100.0,29918.98670618117,498.64977843635285
0.017544748908334597,10,100.0,29235.695908525548,487.2615984754258
0.017954801246878305,10,100.0,28568.010128471145,476.1335021411858
0.01837443724610725,10,100.0,27915.572978115244,465.2595496352541
0.018803880893409165,10,100.0,27278.03620875363,454.63393681256053
0.0192433614111598,10,100.0,26655.059524997574,444.2509920832929
0.019693113379074218,10,100.0,26046.310403135398,434.10517338559
0.020153376859417354,10,100.0,25451.46391364286,424.191065227381
0.020624397525140926,10,100.0,24870.20254774695,414.5033757957825
0.02110642679101555,10,100.0,24302.216047950278,405.03693413250465
0.02159972194782717,10,100.0,23747.20124242638,395.786687373773
0.022104546299710193,10,100.0,23204.86188319688,386.74769805328134
0.022621169304690263,10,100.0,22674.908488004396,377.91514146673995
0.02314986671851161,10,100.0,22157.05818579694,369.2843030966157
0.02369092074182632,10,100.0,21651.03456574073,360.85057609567883
0.02424462017082331,10,100.0,21156.567529681677,352.6094588280279
0.024811260551377706,10,100.0,20673.393147976272,344.5565524662712
0.025391144336803468,10,100.0,20201.25351861474,336.687558643579
0.025984581049292473,10,100.0,19739.89662956187,328.9982771593645
0.02659188744512691,10,100.0,19289.076224241584,321.48460373735975
0.027213387683753087,10,100.0,18848.55167009349,314.1425278348915
0.02784941350080644,10,100.0,18418.087830131597,306.9681305021933
0.02850030438518105,10,100.0,17997.454937436007,299.9575822906001
0.02916640776023707,10,100.0,17586.428472511234,293.10714120852055
0.029848079169243275,10,100.0,17184.7890434455,286.4131507240917
0.030545682465154315,10,100.0,16792.32226880659,279.87203781344317
